Title,original_title,budget,original_language,homepage,overview,runtime,revenue,release_date,vote_average,vote_count,genres,spoken_languages,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization
Unsung Hero,Unsung Hero,0,en,https://unsunghero.movie/,"When David Smallbone's successful music company collapses, he moves his family from Australia to the United States in search of a brighter future. With nothing more than their six children, their suitcases, and their love of music, David and his pregnant wife Helen set out to rebuild their lives from the ground up. Based on a remarkable true story, a mum's faith stands against all odds; and inspires her husband and children to hold onto theirs.",112,0,2024-04-26,10.0,1,Drama,English,United States of America,https://www.nytimes.com/2024/04/25/movies/unsung-hero-review-christian-pop.html,"In fact, there’s a lot of singing in the clan whose members inspired this movie and who have racked up five Grammy Awards for their Christian recordings.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Music', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Australia', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Nashville (Tenn)', 'rank': 4, 'major': 'N'}]",2024-04-25T09:04:35+0000,274.0,‘Unsung Hero’ Review: Music Dedicated to the One They Love,,,,,,,By Nicolas Rapold,"[{'firstname': 'Nicolas', 'middlename': None, 'lastname': 'Rapold', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
Love Lies Bleeding,Love Lies Bleeding,0,en,https://tickets.loveliesbleeding.movie,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Las Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou’s criminal family.",104,8000000,2024-03-08,7.488,41,"Crime, Romance, Thriller",English,"United Kingdom, United States of America",https://www.nytimes.com/2024/03/07/movies/love-lies-bleeding-review-kristen-stewart.html,"In this neo-noir, the ever reliable, always watchable actress plays a small-town loner who’s struck by the unexpected arrival of a mysterious drifter.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Stewart, Kristen', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Glass, Rose (Film Director)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Malone, Jena', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'Love Lies Bleeding (Movie)', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': ""Katy O'Brian (1989- )"", 'rank': 6, 'major': 'N'}]",2024-03-07T10:03:26+0000,986.0,"‘Love Lies Bleeding’ Review: Kristen Stewart, Crazy (and Scary) in Love",Critic’s Pick,,"Bad Romance, Hard-Boiled Style",,,,By Manohla Dargis,"[{'firstname': 'Manohla', 'middlename': None, 'lastname': 'Dargis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
Love Lies Bleeding,Love Lies Bleeding,0,en,https://tickets.loveliesbleeding.movie,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Las Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou’s criminal family.",104,8000000,2024-03-08,7.488,41,"Crime, Romance, Thriller",English,"United Kingdom, United States of America",https://www.nytimes.com/2024/03/07/movies/love-lies-bleeding-review-kristen-stewart.html,"In this neo-noir, the ever reliable, always watchable actress plays a small-town loner who’s struck by the unexpected arrival of a mysterious drifter.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Stewart, Kristen', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Glass, Rose (Film Director)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Malone, Jena', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'Love Lies Bleeding (Movie)', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': ""Katy O'Brian (1989- )"", 'rank': 6, 'major': 'N'}]",2024-03-07T10:03:26+0000,986.0,"‘Love Lies Bleeding’ Review: Kristen Stewart, Crazy (and Scary) in Love",Critic’s Pick,,"Bad Romance, Hard-Boiled Style",,,,By Manohla Dargis,"[{'firstname': 'Manohla', 'middlename': None, 'lastname': 'Dargis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
Bob Marley: One Love,Bob Marley: One Love,70000000,en,https://www.onelovemovie.com,Jamaican singer-songwriter Bob Marley overcomes adversity to become the most famous reggae musician in the world.,104,176527503,2024-02-14,7.0,499,"Music, History, Drama","English, Français",United States of America,https://www.nytimes.com/2024/02/14/movies/bob-marley-one-love-review.html,"This patchy biopic lauds the Marley of dormitory posters, a snapshot of a lifestyle hero who is always the coolest guy in the room.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Reggae Music', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Bob Marley: One Love (Movie)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Marley, Bob', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Green, Reinaldo Marcus', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Ben-Adir, Kingsley', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Content Type: Personal Profile', 'rank': 7, 'major': 'N'}]",2024-02-14T10:02:25+0000,926.0,‘Bob Marley: One Love’ Review: Mostly Positive Vibes,,,"Symbol of Unity,  Man of Complexity",,,,By Amy Nicholson,"[{'firstname': 'Amy', 'middlename': None, 'lastname': 'Nicholson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
Molli and Max in the Future,Molli and Max in the Future,0,en,http://www.michaellitwak.com/molli-max-in-the-future,"A sci-fi romantic comedy about a man and woman whose orbits repeatedly collide over the course of 12 years, 4 planets, 3 dimensions and one space-cult.",93,0,2024-02-09,8.667,3,"Comedy, Romance, Science Fiction",English,United States of America,https://www.nytimes.com/2024/02/08/movies/molli-and-max-in-the-future-review.html,This rom-com brings futuristic absurdity and nimble timing to a comfort-food story line of friends turned soul mates.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Mamet, Zosia', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Molli and Max in the Future (Movie)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Litwak, Michael Lukk', 'rank': 4, 'major': 'N'}]",2024-02-08T12:00:09+0000,275.0,"‘Molli and Max in the Future’ Review: Love, Interplanetary Style",Critic’s Pick,,Molli and Max In the Future,,,,By Nicolas Rapold,"[{'firstname': 'Nicolas', 'middlename': None, 'lastname': 'Rapold', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
The Taste of Things,La passion de Dodin Bouffant,6500000,fr,https://www.ifcfilms.com/films/the-taste-of-things,"Set in 1889 France, Dodin Bouffant is a chef living with his personal cook and lover Eugénie. They share a long history of gastronomy and love but Eugénie refuses to marry Dodin, so the food lover decides to do something he has never done before: cook for her.",135,5970753,2023-11-08,7.1,88,"Drama, Romance",Français,"Belgium, France",https://www.nytimes.com/2024/02/08/movies/the-taste-of-things-review.html,Juliette Binoche stars in an instant culinary classic that exquisitely captures the kitchen’s bittersweet blessing.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Binoche, Juliette', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Hung, Tran Anh', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Magimel, Benoit', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'The Taste of Things (Movie)', 'rank': 5, 'major': 'N'}]",2024-02-08T10:00:20+0000,1046.0,"‘The Taste of Things’ Review: Love, Loss and Loins of Veal",Critic’s Pick,,"At Their Table, Passion Imbues Every Meal",,,,By Alissa Wilkinson,"[{'firstname': 'Alissa', 'middlename': None, 'lastname': 'Wilkinson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
Pictures of Ghosts,Retratos Fantasmas,0,pt,,Downtown Recife’s classic movie palaces from the 20th century are mostly gone. That city area is now an archaeological site of sorts that reveals aspects of life in society which have been lost. And that’s just part of the story.,93,0,2023-08-24,8.057,35,Documentary,Português,Brazil,https://www.nytimes.com/2024/01/25/movies/pictures-of-ghosts-review.html,"The Brazilian director Kleber Mendonça Filho draws on fact and fiction in this image-rich documentary that moves fast and far, but always returns home.",The New York Times,"[{'name': 'subject', 'value': 'Documentary Films and Programs', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Movies', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Mendonca Filho, Kleber', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'Pictures of Ghosts (Movie)', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Recife (Brazil)', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Brazil', 'rank': 6, 'major': 'N'}]",2024-01-25T16:40:37+0000,796.0,‘Pictures of Ghosts’ Review: Layers of Love and Memory,Critic’s Pick,,His Love for Cinema and Home Are Inseparable,,,,By Manohla Dargis,"[{'firstname': 'Manohla', 'middlename': None, 'lastname': 'Dargis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
Anyone But You,Anyone But You,25000000,en,https://www.anyonebutyou.movie,"After an amazing first date, Bea and Ben’s fiery attraction turns ice cold — until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",104,214891370,2023-12-21,7.089,1374,"Romance, Comedy",English,United States of America,,,,,,,,,,,,,,,,
Fallen Leaves,Kuolleet lehdet,1480000,fi,https://www.the-match-factory.com/catalogue/films/fallen-leaves.html,"In modern-day Helsinki, two lonely souls in search of love meet by chance in a karaoke bar. However, their path to happiness is beset by obstacles - from lost phone numbers to mistaken addresses, alcoholism, and a charming stray dog.",81,12400000,2023-09-14,7.275,362,"Romance, Comedy, Drama","العربية, suomi","Finland, Germany",https://www.nytimes.com/2023/11/16/movies/fallen-leaves-review-aki-kaurismaki.html,"In the latest from the Finnish filmmaker Aki Kaurismaki, two lonely people find each other with tenderness, karaoke and deadpan comedy.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Kaurismaki, Aki', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Fallen Leaves (Movie)', 'rank': 3, 'major': 'N'}]",2023-11-16T18:04:26+0000,873.0,‘Fallen Leaves’ Review: Love (and Laughs) Among the Ruins,Critic’s pick,,"Love, and Laughs, Among the Ruins",,,,By Manohla Dargis,"[{'firstname': 'Manohla', 'middlename': None, 'lastname': 'Dargis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
Radical,Radical,10000000,en,https://www.radical.movie,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries a radical new method to break through his students’ apathy and unlock their curiosity, their potential… and maybe even their genius.",127,21066351,2023-10-19,8.444,347,Drama,"English, Español","Mexico, United States of America",https://www.nytimes.com/2023/11/02/movies/radical-review.html,A vaguely unconventional teacher galvanizes disadvantaged sixth graders in this highly conventional drama.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Derbez, Eugenio', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'Radical (Movie)', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Zalla, Christopher', 'rank': 4, 'major': 'N'}]",2023-11-02T11:00:25+0000,272.0,‘Radical’ Review: To Sergio With Love,,,Radical,,,,By Natalia Winkelman,"[{'firstname': 'Natalia', 'middlename': None, 'lastname': 'Winkelman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
